# Word frequencies generated using Sudachi tokenization (Modes A, B, C)
# Data Provenance: HuggingFace 'mc4' dataset (validation split)
# Word	Sudachi_A	Sudachi_B	Sudachi_C
ネーム	20	20	12
NPO	20	20	12
金庫	19	19	12
交通省	0	19	12
子宮	22	18	12
県立	18	18	12
ハット	18	18	12
徳川	17	17	12
スケート	20	16	12
臓器	16	16	12
レコーダー	16	16	12
遠距離	0	16	12
情緒	18	15	12
トレ	15	15	12
シェイプ	15	15	12
ビック	15	15	12
家財	15	15	12
.com	15	15	12
ファイン	15	15	12
天下	15	15	12
途上国	0	15	12
新興	22	14	12
語学	18	14	12
精算	16	14	12
銀河	16	14	12
カレッジ	14	14	12
インターフェイス	14	14	12
出納	14	14	12
香川県	0	14	12
受給者	0	14	12
消防	38	13	12
高知	37	13	12
伏せ	19	13	12
打者	16	13	12
派生	15	13	12
機内	14	13	12
難波	14	13	12
ラピス	13	13	12
HD	13	13	12
まんが	13	13	12
メイト	13	13	12
ボーリング	13	13	12
エア	13	13	12
ネイティブ	13	13	12
大通り	13	13	12
日の出	13	13	12
シチュー	13	13	12
チェス	13	13	12
堀畑	13	13	12
イコール	13	13	12
黒田	13	13	12
猶予	13	13	12
アーム	13	13	12
月数	13	13	12
直流	13	13	12
見切り	6	13	12
日向市	0	13	12
北見市	0	13	12
上川郡	0	13	12
医療用	0	13	12
仮想化	0	13	12
県議会	0	13	12
歯周	108	12	12
市街	69	12	12
小さ	63	12	12
逢い	58	12	12
周波	57	12	12
炉	56	12	12
後遺	51	12	12
木曜	49	12	12
幻想	43	12	12
定例	42	12	12
映し	36	12	12
解き	35	12	12
悲し	34	12	12
議事	33	12	12
灯	32	12	12
創り	30	12	12
抗生	29	12	12
驚異	27	12	12
器用	25	12	12
酔っ	25	12	12
花粉	24	12	12
相関	23	12	12
即効	23	12	12
好物	21	12	12
作物	21	12	12
刈り	21	12	12
腎	20	12	12
町内	20	12	12
吊り	19	12	12
逃す	19	12	12
いす	19	12	12
浄水	18	12	12
嫌悪	18	12	12
ぱっ	18	12	12
実写	18	12	12
先制	18	12	12
八代	17	12	12
絶	17	12	12
たたき	17	12	12
粘膜	16	12	12
造船	16	12	12
うけ	16	12	12
理性	16	12	12
ねえさん	16	12	12
歩ける	15	12	12
定型	15	12	12
遺族	15	12	12
排泄	15	12	12
組め	15	12	12
かかれ	15	12	12
酸性	15	12	12
伝染	15	12	12
動詞	15	12	12
ぶどう	15	12	12
薔薇	15	12	12
カツ	15	12	12
改憲	15	12	12
除	15	12	12
曲げ	14	12	12
渡航	14	12	12
つかっ	14	12	12
貸与	14	12	12
木曽	14	12	12
舎	14	12	12
野心	14	12	12
栗	14	12	12
挿し	14	12	12
取ろう	14	12	12
連鎖	14	12	12
磐田	14	12	12
敗北	13	12	12
青木	13	12	12
みなとみらい	13	12	12
始発	13	12	12
伊賀	13	12	12
命名	13	12	12
光学	13	12	12
名門	13	12	12
中級	13	12	12
征服	13	12	12
表わす	13	12	12
性感	13	12	12
文芸	13	12	12
収縮	13	12	12
春日	13	12	12
きれる	13	12	12
茎	13	12	12
ペーパーレス	13	12	12
軟膏	13	12	12
外注	13	12	12
きめ	13	12	12
ねがい	13	12	12
行程	13	12	12
会おう	13	12	12
届出	13	12	12
所長	13	12	12
歩か	13	12	12
シュツ	12	12	12
脅し	12	12	12
Tweet	12	12	12
力量	12	12	12
昼ご飯	12	12	12
参っ	12	12	12
沙汰	12	12	12
まとめ買い	12	12	12
童	12	12	12
いわく	12	12	12
テレコン	12	12	12
フィーリング	12	12	12
正気	12	12	12
ギミック	12	12	12
語源	12	12	12
詫び	12	12	12
短所	12	12	12
l	12	12	12
ストライプ	12	12	12
本州	12	12	12
遠出	12	12	12
ＯＬ	12	12	12
マンゴー	12	12	12
かろうじて	12	12	12
熟	12	12	12
雑入	12	12	12
しん	12	12	12
つぶやい	12	12	12
同調	12	12	12
裏付ける	12	12	12
保てる	12	12	12
頑な	12	12	12
アパートメント	12	12	12
デュッセルドルフ	12	12	12
ハリウッド	12	12	12
🙇	12	12	12
果汁	12	12	12
ワクチン	12	12	12
くず	12	12	12
一撃	12	12	12
杏	12	12	12
ショールーム	12	12	12
雨天	12	12	12
ファイザー	12	12	12
閉まっ	12	12	12
楓	12	12	12
リコネクション	12	12	12
同署	12	12	12
思案	12	12	12
根源	12	12	12
ダニエル	12	12	12
煽り	12	12	12
k	12	12	12
1988	12	12	12
散りばめ	12	12	12
4万	12	12	12
コンクリ	12	12	12
切なく	12	12	12
初子	12	12	12
隔壁	12	12	12
不味い	12	12	12
混載	12	12	12
まつ毛	12	12	12
オシッコ	12	12	12
眠い	12	12	12
イタズラ	12	12	12
8000	12	12	12
孵化	12	12	12
変容	12	12	12
変異	12	12	12
ボクシング	12	12	12
水遊び	12	12	12
磁石	12	12	12
差す	12	12	12
熟年	12	12	12
四十路	12	12	12
還暦	12	12	12
スホ	12	12	12
アマチュア	12	12	12
脱ぐ	12	12	12
グル	12	12	12
ライブラリ	12	12	12
神事	12	12	12
人身	12	12	12
客層	12	12	12
末端	12	12	12
イラッ	12	12	12
圏内	12	12	12
源平	12	12	12
バーガー	12	12	12
移さ	12	12	12
雑魚	12	12	12
なじま	12	12	12
ネム	12	12	12
ｗｗｗｗ	12	12	12
講じる	12	12	12
焼ける	12	12	12
本名	12	12	12
姓名	12	12	12
採集	12	12	12
退勤	12	12	12
ホットドッグ	12	12	12
キッチリ	12	12	12
桃花台	12	12	12
泣け	12	12	12
コネクション	12	12	12
虐殺	12	12	12
位牌	12	12	12
厩舎	12	12	12
ぶれ	12	12	12
スタートアップ	12	12	12
牧師	12	12	12
減量	12	12	12
ランクイン	12	12	12
０．１	12	12	12
頻発	12	12	12
即決	12	12	12
屈指	12	12	12
サンタ	12	12	12
CKD	12	12	12
悪夢	12	12	12
バツ	12	12	12
対岸	12	12	12
てんこ盛り	12	12	12
なにしろ	12	12	12
対潜	12	12	12
無形	12	12	12
ジオン	12	12	12
善光寺	12	12	12
宮平	12	12	12
潤平	12	12	12
つづき	12	12	12
艶やか	12	12	12
専有	12	12	12
塞栓	12	12	12
FET	12	12	12
なつみ	12	12	12
汚し	12	12	12
巡回	12	12	12
川中	12	12	12
デコレーション	12	12	12
光一	12	12	12
(^O^)	12	12	12
宮沢	12	12	12
やせ	12	12	12
亜種	12	12	12
煩雑	12	12	12
過ち	12	12	12
縄文	12	12	12
先送り	12	12	12
加味	12	12	12
段ボール	12	12	12
モデリング	12	12	12
別れる	12	12	12
下値	12	12	12
ブレ	12	12	12
すんげえ	12	12	12
コタツ	12	12	12
竹中	12	12	12
建屋	12	12	12
降雪	12	12	12
乙女	12	12	12
ステア	12	12	12
タダマン	12	12	12
ヴィオラ	12	12	12
さらさ	12	12	12
アダプター	12	12	12
剃っ	12	12	12
始めれ	12	12	12
温める	12	12	12
波乱	12	12	12
バンドソー	12	12	12
陰茎	12	12	12
フルート	12	12	12
グラビア	12	12	12
取っ手	12	12	12
陽一	12	12	12
野蛮	12	12	12
エヴォ	12	12	12
責務	12	12	12
RX	12	12	12
ミーハー	12	12	12
堂島	12	12	12
由	12	12	12
至極	12	12	12
遊ぼう	12	12	12
衛星	12	12	12
渡	12	12	12
少将	12	12	12
チャ	12	12	12
凸凹	12	12	12
顔つき	12	12	12
建坪	12	12	12
勘案	12	12	12
ちびっ子	12	12	12
責める	12	12	12
改変	12	12	12
明石	12	12	12
セラミック	12	12	12
新米	12	12	12
簡略	12	12	12
君臨	12	12	12
けん	12	12	12
ク	12	12	12
泊まる	12	12	12
侵攻	12	12	12
凄かっ	12	12	12
置け	12	12	12
スズメ	12	12	12
母乳	12	12	12
後編	12	12	12
フェティッシュ	12	12	12
サーブ	12	12	12
ステッカー	12	12	12
色紙	12	12	12
asics	12	12	12
ようこそ	12	12	12
気合い	12	12	12
フレッツ	12	12	12
メイキング	12	12	12
コキ	12	12	12
愉しむ	12	12	12
１５００	12	12	12
デュオ	12	12	12
潜ん	12	12	12
同氏	12	12	12
標本	12	12	12
解る	12	12	12
完熟	12	12	12
仕込み	12	12	12
欠かさ	12	12	12
挑み	12	12	12
イモ	12	12	12
かわら	12	12	12
レスポンス	12	12	12
カメ	12	12	12
pic	12	12	12
キャッチフレーズ	12	12	12
ヒマ	12	12	12
買戻	12	12	12
べべ	12	12	12
不況	12	12	12
スキップ	12	12	12
容認	12	12	12
化審	12	12	12
障子	12	12	12
配膳	12	12	12
釣果	12	12	12
即座	12	12	12
デパ	12	12	12
止み	12	12	12
無言	12	12	12
フェネック	12	12	12
１２００	12	12	12
ウィーン	12	12	12
細君	12	12	12
切除	12	12	12
リクシル	12	12	12
マリナーズ	12	12	12
トイデジカメ	12	12	12
漂わ	12	12	12
ダイアログ	12	12	12
会心	12	12	12
わいわい	12	12	12
ワープロ	12	12	12
ホンマ	12	12	12
涼子	12	12	12
首里	12	12	12
紛失	12	12	12
脱がさ	12	12	12
導い	12	12	12
パートナーシップ	12	12	12
増やせ	12	12	12
グレート	12	12	12
幹線	12	12	12
突発	12	12	12
リコネクティブ	12	12	12
近かっ	12	12	12
リヨン	12	12	12
通風	12	12	12
カール	12	12	12
面会	12	12	12
楽譜	12	12	12
２００８	12	12	12
響か	12	12	12
(´・ω・｀)	12	12	12
通える	12	12	12
其の	12	12	12
ぐっすり	12	12	12
歯肉	12	12	12
ハズ	12	12	12
北野	12	12	12
炸裂	12	12	12
新芽	12	12	12
太り	12	12	12
灸	12	12	12
高島屋	12	12	12
入団	12	12	12
麻	12	12	12
終焉	12	12	12
無能	12	12	12
恐る	12	12	12
湯島	12	12	12
越境	12	12	12
繋が	12	12	12
スペシャリスト	12	12	12
初詣	12	12	12
遠赤	12	12	12
即答	12	12	12
並べる	12	12	12
ファイアウォール	12	12	12
ったら	12	12	12
ゼミ	12	12	12
リパブリック	12	12	12
つけ汁	12	12	12
拉致	12	12	12
盗ん	12	12	12
ナイター	12	12	12
従姉妹	12	12	12
借りよう	12	12	12
長靴	12	12	12
幕末	12	12	12
冬目	12	12	12
ありか	12	12	12
メンツ	12	12	12
大物	12	12	12
ジャウマ	12	12	12
一族	12	12	12
クリス	12	12	12
サッパリ	12	12	12
㈱	12	12	12
校庭	12	12	12
剤形	12	12	12
ぽん	12	12	12
あずみ	12	12	12
橋梁	12	12	12
平穏	12	12	12
救済	12	12	12
連夜	12	12	12
断定	12	12	12
孤立	12	12	12
ロホック	12	12	12
黒板	12	12	12
小分け	12	12	12
呪縛	12	12	12
野鳥	12	12	12
チャペル	12	12	12
物品	12	12	12
右上	12	12	12
若山	12	12	12
高域	12	12	12
二部	12	12	12
祝い金	12	12	12
混ざっ	12	12	12
挟ま	12	12	12
起床	12	12	12
ワイワイ	12	12	12
随所	12	12	12
程よく	12	12	12
ドレッシング	12	12	12
音域	12	12	12
人並み	12	12	12
ヨガスタジオ	12	12	12
ジャガー	12	12	12
長続き	12	12	12
レパートリー	12	12	12
ギュッ	12	12	12
盗ま	12	12	12
チューブ	12	12	12
付け根	12	12	12
オレイン	12	12	12
つとめ	12	12	12
ジェスチャー	12	12	12
ありがと	12	12	12
煙草	12	12	12
予習	12	12	12
軽快	12	12	12
斤量	12	12	12
学連	12	12	12
特番	12	12	12
ミキサー	12	12	12
コンペ	12	12	12
急が	12	12	12
ほぐれ	12	12	12
着れ	12	12	12
置物	12	12	12
バーテンダー	12	12	12
ガニ	12	12	12
ギリシア	12	12	12
覆す	12	12	12
マーキング	12	12	12
オペレーション	12	12	12
やるせ	12	12	12
ミコト	12	12	12
歳月	12	12	12
ウキウキ	12	12	12
てらっしゃい	12	12	12
総士	12	12	12
ピット	12	12	12
だる	12	12	12
ウリ	12	12	12
原告	12	12	12
コントローラ	12	12	12
ポチっ	12	12	12
しずく	12	12	12
リハーサル	12	12	12
チェスト	12	12	12
隻	12	12	12
償還	12	12	12
ｖ	12	12	12
割い	12	12	12
700万	12	12	12
飾ら	12	12	12
てんとう	12	12	12
湧か	12	12	12
三岐	12	12	12
るい	12	12	12
書評	12	12	12
ワカメ	12	12	12
レトビア	12	12	12
花子	12	12	12
ボレロ	12	12	12
曇っ	12	12	12
消失	12	12	12
ロジック	12	12	12
けた	12	12	12
イーサ	12	12	12
棚板	12	12	12
同胞	12	12	12
文言	12	12	12
上空	12	12	12
感慨	12	12	12
ガイア	12	12	12
天狗	12	12	12
rd	12	12	12
AIPAC	12	12	12
ありのまま	12	12	12
はぁ	12	12	12
よくよく	12	12	12
ミラン	12	12	12
好転	12	12	12
ヘアメイク	12	12	12
‐	12	12	12
議題	12	12	12
丹野	12	12	12
エンターテインメント	12	12	12
全長	12	12	12
デュラテクノマットレス	12	12	12
前置き	12	12	12
別人	12	12	12
翌月	12	12	12
メタン	12	12	12
ベートーヴェン	12	12	12
ma	12	12	12
フィラリア	12	12	12
まとまり	12	12	12
いっぽう	12	12	12
無性	12	12	12
椎茸	12	12	12
杖	12	12	12
バスケットボール	12	12	12
たこ	12	12	12
冷房	12	12	12
4425	12	12	12
TM	12	12	12
不慣れ	12	12	12
昇華	12	12	12
買い置き	12	12	12
ＤＩＹ	12	12	12
精巧	12	12	12
あいり	12	12	12
日勤	12	12	12
石段	12	12	12
真性	12	12	12
指令	12	12	12
ウォシュレット	12	12	12
コンプレッサー	12	12	12
かまい	12	12	12
ロス	12	12	12
楽団	12	12	12
率い	12	12	12
近日	12	12	12
ゴリ	12	12	12
裏返し	12	12	12
アオギス	12	12	12
ベーグル	12	12	12
奉納	12	12	12
試さ	12	12	12
カッパ	12	12	12
ハープ	12	12	12
緩ん	12	12	12
クリアー	12	12	12
募る	12	12	12
バラエティー	12	12	12
欠場	12	12	12
MSN	12	12	12
金券	12	12	12
ゆるゆる	12	12	12
免れ	12	12	12
74	12	12	12
ヘミシンク	12	12	12
自前	12	12	12
はかる	12	12	12
便所	12	12	12
カンボジア	12	12	12
デュエット	12	12	12
ハンドバッグ	12	12	12
駅近	12	12	12
徳	12	12	12
なんぼ	12	12	12
スリップ	12	12	12
あわて	12	12	12
海辺	12	12	12
仕切り	12	12	12
潰れる	12	12	12
ラクトース	12	12	12
飼う	12	12	12
4.2	12	12	12
儲ける	12	12	12
２００７	12	12	12
ロシータ	12	12	12
寝かせ	12	12	12
あげく	12	12	12
ジャッキー	12	12	12
Ive	12	12	12
ウルトラマン	12	12	12
真冬	12	12	12
台数	12	12	12
凹ん	12	12	12
地鶏	12	12	12
国情	12	12	12
シンクス	12	12	12
スピーディ	12	12	12
濃密	12	12	12
吉原	12	12	12
スケベ	12	12	12
適量	12	12	12
アフレコ	12	12	12
ゆるやか	12	12	12
どきん	12	12	12
4.5	12	12	12
BBS	12	12	12
ワンズ	12	12	12
志村	12	12	12
インテリジェントキー	12	12	12
塗ら	12	12	12
実話	12	12	12
掛から	12	12	12
辻	12	12	12
変数	12	12	12
道の駅	12	12	12
バッタ	12	12	12
テムシロリムス	12	12	12
唱える	12	12	12
ほやほや	12	12	12
けら	12	12	12
茶の間	12	12	12
ゆくゆく	12	12	12
由緒	12	12	12
大人しい	12	12	12
大盛	12	12	12
汚さ	12	12	12
対談	12	12	12
生花	12	12	12
目地	12	12	12
今村	12	12	12
褒め言葉	12	12	12
カイザー	12	12	12
フリ	12	12	12
パケット	12	12	12
パシャ	12	12	12
補完	12	12	12
セレモニー	12	12	12
インセンティブ	12	12	12
123	12	12	12
リポソーム	12	12	12
途方	12	12	12
太平	12	12	12
チューニング	12	12	12
つぼみ	12	12	12
なんぞ	12	12	12
行きつけ	11	12	12
建て替え	11	12	12
緩め	10	12	12
勝ち越し	10	12	12
割りきり	9	12	12
引き下げ	9	12	12
繰り入れ	9	12	12
引き換え	8	12	12
組込み	7	12	12
届け出	6	12	12
組み込み	6	12	12
すれ違い	6	12	12
割り当て	5	12	12
洗い出し	5	12	12
問いかけ	5	12	12
書き換え	5	12	12
引き寄せ	4	12	12
引き立て	4	12	12
打上げ	3	12	12
煮込む	0	12	12
子供服	0	12	12
１級	0	12	12
回分	0	12	12
国民的	0	12	12
謝恩会	0	12	12
変更点	0	12	12
花粉症	0	12	12
新庄市	0	12	12
顔写真	0	12	12
差し込む	0	12	12
消極的	0	12	12
サービス業	0	12	12
全盛期	0	12	12
雄勝郡	0	12	12
思い出せ	0	12	12
候補者	0	12	12
核燃料	0	12	12
支援費	0	12	12
持ち上げる	0	12	12
販売中	0	12	12
関連性	0	12	12
呼び出せ	0	12	12
説明文	0	12	12
賦形剤	0	12	12
似合わ	0	12	12
複数社	0	12	12
大成功	0	12	12
辿り着い	0	12	12
引き起こさ	0	12	12
バイク王	0	12	12
暗号化	0	12	12
受付中	0	12	12
特産品	0	12	12
無責任	0	12	12
かけ離れ	0	12	12
非常食	0	12	12
付け加え	0	12	12
展示場	0	12	12
法改正	0	12	12
原動力	0	12	12
編集長	0	12	12
進行中	0	12	12
充電器	0	12	12
洗い流し	0	12	12
使用量	0	12	12
領事館	0	12	12
数週間	0	12	12
硬さ	0	12	12
引っ張ら	0	12	12
茶飯事	0	12	12
引き出物	0	12	12
表現力	0	12	12
真っ昼間	0	12	12
税理士	0	12	12
青森駅	0	12	12
授乳期	0	12	12
金属製	0	12	12
裁判官	0	12	12
総集編	0	12	12
東西線	0	12	12
知多郡	0	12	12
狭心症	0	12	12
記念館	0	12	12
とろみ	0	12	12
差出人	0	12	12
詰め込ん	0	12	12
組み込ん	0	12	12
高島市	0	12	12
思い浮かび	0	12	12
絶望的	0	12	12
開発費	0	12	12
親近感	0	12	12
思い出さ	0	12	12
大前提	0	12	12
仲介業	0	12	12
疲労感	0	12	12
統計的	0	12	12
判断力	0	12	12
新技術	0	12	12
教育長	0	12	12
旅行記	0	12	12
たどり着い	0	12	12
請け負う	0	12	12
法務省	0	12	12
見込め	0	12	12
武道館	0	12	12
四半期	0	12	12
取り合っ	0	12	12
実用性	0	12	12
押し寄せ	0	12	12
殺虫剤	0	12	12
再就職	0	12	12
事業費	0	12	12
非対応	0	12	12
買い換える	0	12	12
過去問	0	12	12
飛び込む	0	12	12
装飾品	0	12	12
移動中	0	12	12
扶桑町	0	12	12
新入生	0	12	12
打ち込み	0	12	12
微調整	0	12	12
差し上げ	0	12	12
不都合	0	12	12
有権者	0	12	12
拡張子	0	12	12
何本	0	12	12
見捨て	0	12	12
現代的	0	12	12
普段着	0	12	12
持ち帰る	0	12	12
使い分ける	0	12	12
不審者	0	12	12
通り過ぎ	0	12	12
実体験	0	12	12
住環境	0	12	12
地上波	0	12	12
水疱瘡	0	12	12
攻撃力	0	12	12
漢方薬	0	12	12
先入観	0	12	12
人物像	0	12	12
重点的	0	12	12
仕様書	0	12	12
向き合い	0	12	12
つ折り	0	12	12
準優勝	0	12	12
引き継ぐ	0	12	12
河川敷	0	12	12
ハーブティー	1	1	12
地盤沈下	0	0	12
ビジネスホテル	0	0	12
ハイスピード	0	0	12
京都府木津川市	0	0	12
スターフライヤー	0	0	12
脱脂粉乳	0	0	12
ベビーシッター	0	0	12
ワンランク	0	0	12
業務委託	0	0	12
付加価値	0	0	12
オフホワイト	0	0	12
時価総額	0	0	12
身分証明書	0	0	12
企業向け	0	0	12
仙台市青葉区	0	0	12
勤務期間	0	0	12
経年劣化	0	0	12
基本料金	0	0	12
東洋水産	0	0	12
佐川急便	0	0	12
毛細血管	0	0	12
販売会社	0	0	12
自己満足	0	0	12
教育機関	0	0	12
国家試験	0	0	12
酒池肉林	0	0	12
異常気象	0	0	12
ヘアドライヤー	0	0	12
本人確認	0	0	12
受動喫煙	0	0	12
自己主張	0	0	12
前の日	0	0	12
感情移入	0	0	12
プロピレングリコール	0	0	12
明治安田生命	0	0	12
格差社会	0	0	12
実施計画	0	0	12
家族連れ	0	0	12
日本共産党	0	0	12
衛生管理	0	0	12
人手	39	39	11
カー	32	32	11
小売	163	30	11
新入	41	29	11
ホルダー	24	24	11
ポテト	22	22	11
高知県	0	21	11
かみ	38	20	11
羽毛	20	20	11
進捗	20	19	11
機関車	0	19	11
アサヒ	17	17	11
大津市	0	17	11
旭	59	16	11
くら	16	16	11
催眠	17	15	11
六本木	17	15	11
住吉	17	15	11
トースト	15	15	11
菜園	15	15	11
スピン	15	15	11
フロー	15	15	11
バリュー	15	15	11
上野村	0	15	11
千歳	17	14	11
卸	17	14	11
均等	14	14	11
係数	14	14	11
社外	14	14	11
陣痛	14	14	11
目覚まし	14	14	11
プレ	14	14	11
ウール	14	14	11
製菓	14	14	11
サイエンス	14	14	11
印鑑	14	14	11
乾燥機	0	14	11
度会郡	0	14	11
西宮	17	13	11
識別	16	13	11
学研	13	13	11
穴子	13	13	11
カンパニー	13	13	11
インタフェース	13	13	11
プリンタ	13	13	11
トレンチ	13	13	11
バッチ	13	13	11
インターフェース	13	13	11
学科	13	13	11
北条	13	13	11
ホステル	13	13	11
フーズ	13	13	11
参政権	0	13	11
自治	130	12	11
救急	22	12	11
炭酸	16	12	11
橿原	14	12	11
ローソク	12	12	11
アット	12	12	11
ナッツ	12	12	11
中田	12	12	11
柳	12	12	11
時事	12	12	11
ルーチン	12	12	11
ゲージ	12	12	11
パーソナル	12	12	11
ライオン	12	12	11
貸し付け	12	12	11
シップ	12	12	11
安藤	12	12	11
アイアン	12	12	11
クリーナー	12	12	11
救命	12	12	11
ネクタイ	12	12	11
ステイ	12	12	11
官	153	11	11
母さん	152	11	11
折り	108	11	11
大磯	90	11	11
豊田	84	11	11
放射	81	11	11
掘り	52	11	11
浮かび	47	11	11
タンパク	44	11	11
返さ	42	11	11
締まっ	38	11	11
ぶっ	37	11	11
とめ	36	11	11
こむ	34	11	11
細工	27	11	11
抽象	26	11	11
特産	23	11	11
惹き	23	11	11
吉野	23	11	11
つぎ	22	11	11
擦り	22	11	11
静	22	11	11
主題	21	11	11
つぶし	21	11	11
熱帯	21	11	11
母国	21	11	11
母ちゃん	20	11	11
炊き	20	11	11
死刑	20	11	11
伸縮	19	11	11
産み	19	11	11
下し	18	11	11
渋	18	11	11
搾り	17	11	11
開口	17	11	11
佐渡	17	11	11
添える	17	11	11
愛想	16	11	11
忍耐	16	11	11
則	16	11	11
仁王	16	11	11
扱わ	16	11	11
柏	15	11	11
潰す	15	11	11
造作	15	11	11
中立	15	11	11
隣り	15	11	11
初診	15	11	11
問屋	14	11	11
うれし	14	11	11
入れよう	14	11	11
脱ぎ	14	11	11
泳ぎ	14	11	11
延び	14	11	11
新橋	13	11	11
凝り	13	11	11
饅頭	13	11	11
神流	13	11	11
放火	13	11	11
督促	13	11	11
とどまっ	13	11	11
専攻	13	11	11
持	13	11	11
養生	13	11	11
配分	13	11	11
草刈り	13	11	11
三笠	13	11	11
平塚	13	11	11
混ぜる	13	11	11
偏	12	11	11
三田	12	11	11
養殖	12	11	11
改札	12	11	11
遭難	12	11	11
集い	12	11	11
バイエルン	12	11	11
習う	12	11	11
法廷	12	11	11
関ヶ原	12	11	11
搭乗	12	11	11
北西	12	11	11
連ね	12	11	11
逃れ	12	11	11
部落	12	11	11
撥水	12	11	11
鰻	12	11	11
内面	12	11	11
養老	12	11	11
帽	12	11	11
遊	12	11	11
縁起	12	11	11
御所	12	11	11
茄子	12	11	11
曲がり	12	11	11
帰れる	12	11	11
こし	12	11	11
増幅	12	11	11
首長	12	11	11
余す	12	11	11
松田	12	11	11
さら	12	11	11
断	12	11	11
泡立て	12	11	11
RPA	11	11	11
作製	11	11	11
シュール	11	11	11
アプデ	11	11	11
バル	11	11	11
侍	11	11	11
活かせ	11	11	11
撮れる	11	11	11
軒先	11	11	11
１２０	11	11	11
旧型	11	11	11
主軸	11	11	11
執念	11	11	11
NEW	11	11	11
無名	11	11	11
トラウマ	11	11	11
ちまう	11	11	11
享受	11	11	11
折っ	11	11	11
上方	11	11	11
となり	11	11	11
④	11	11	11
河瀬	11	11	11
腐っ	11	11	11
低域	11	11	11
同然	11	11	11
ミスド	11	11	11
防塵	11	11	11
オカルト	11	11	11
とっく	11	11	11
値打ち	11	11	11
NEC	11	11	11
着々	11	11	11
建国	11	11	11
描ける	11	11	11
かなわ	11	11	11
大迫	11	11	11
炒める	11	11	11
段違い	11	11	11
要る	11	11	11
闘犬	11	11	11
利口	11	11	11
典子	11	11	11
ドバイ	11	11	11
ジンオウガ	11	11	11
濾過	11	11	11
不備	11	11	11
止む	11	11	11
苦難	11	11	11
生麺	11	11	11
勝ち組	11	11	11
善文	11	11	11
クローゼット	11	11	11
ミツバチ	11	11	11
ケ月	11	11	11
ウィメンズ	11	11	11
アリバイ	11	11	11
本題	11	11	11
通夜	11	11	11
UNLOCK	11	11	11
浦島	11	11	11
伴侶	11	11	11
すげぇ	11	11	11
いかん	11	11	11
ds	11	11	11
灯り	11	11	11
煽っ	11	11	11
呼べる	11	11	11
熊	11	11	11
済ませる	11	11	11
ジソク	11	11	11
ガバナンス	11	11	11
長蛇	11	11	11
直火	11	11	11
でーす	11	11	11
マンツーマン	11	11	11
rolex	11	11	11
馳せ	11	11	11
所轄	11	11	11
リバー	11	11	11
トロンボーン	11	11	11
ツェッペリン	11	11	11
平坦	11	11	11
藩	11	11	11
ＤＰＩ	11	11	11
遺骨	11	11	11
代わる	11	11	11
シゲ	11	11	11
98	11	11	11
ウユクリーム	11	11	11
寒蘭	11	11	11
人命	11	11	11
サーフ	11	11	11
ユキ	11	11	11
ささい	11	11	11
プレッツェル	11	11	11
小田急	11	11	11
サザン	11	11	11
大騒ぎ	11	11	11
スパイ	11	11	11
うっすら	11	11	11
さんざん	11	11	11
フィン	11	11	11
出会し	11	11	11
精査	11	11	11
抱負	11	11	11
珍	11	11	11
乖離	11	11	11
早目	11	11	11
怠っ	11	11	11
レインボー	11	11	11
サテライト	11	11	11
あったかく	11	11	11
cialis	11	11	11
腐	11	11	11
延べ	11	11	11
手巻き	11	11	11
明白	11	11	11
WiFi	11	11	11
立ちくらみ	11	11	11
ケタ	11	11	11
丁	11	11	11
風雨	11	11	11
分かん	11	11	11
防げ	11	11	11
易	11	11	11
溶かす	11	11	11
嫌っ	11	11	11
gmt	11	11	11
追撃	11	11	11
大坂	11	11	11
議決	11	11	11
ｄ	11	11	11
服地	11	11	11
数人	11	11	11
苦い	11	11	11
乾杯	11	11	11
チュートリアル	11	11	11
桐	11	11	11
糧	11	11	11
着工	11	11	11
ステアリング	11	11	11
波及	11	11	11
アテ	11	11	11
びわ湖	11	11	11
拭え	11	11	11
peorina	11	11	11
国々	11	11	11
ケンリックサウンド	11	11	11
集結	11	11	11
いやはや	11	11	11
覚める	11	11	11
ホーン	11	11	11
くるぶし	11	11	11
ケ	11	11	11
伝票	11	11	11
荒木	11	11	11
ごまかし	11	11	11
のびのび	11	11	11
td	11	11	11
勲章	11	11	11
やわらかく	11	11	11
ゴミ出し	11	11	11
ひろゆき	11	11	11
ボッキ	11	11	11
遠のい	11	11	11
本館	11	11	11
連打	11	11	11
浸かっ	11	11	11
アール	11	11	11
アドバンテージ	11	11	11
上図	11	11	11
競う	11	11	11
うわ	11	11	11
コンビネーション	11	11	11
月末	11	11	11
両社	11	11	11
うー	11	11	11
ﾜﾀｼ	11	11	11
くつろい	11	11	11
花形	11	11	11
縁日	11	11	11
くじ	11	11	11
面々	11	11	11
稲山	11	11	11
森友	11	11	11
甲	11	11	11
ｘｘ	11	11	11
伝授	11	11	11
一助	11	11	11
真太郎	11	11	11
担い手	11	11	11
奈緒	11	11	11
WSOP	11	11	11
ふしぎ	11	11	11
松下	11	11	11
チンチン	11	11	11
逃れる	11	11	11
隠れ家	11	11	11
意匠	11	11	11
畳平	11	11	11
国別	11	11	11
抹茶	11	11	11
アミューズメント	11	11	11
潔	11	11	11
ちんこ	11	11	11
らく	11	11	11
山中	11	11	11
週替わり	11	11	11
レズ	11	11	11
祀ら	11	11	11
興業	11	11	11
珍味	11	11	11
dmm	11	11	11
アクト	11	11	11
